N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
3,uniform,brute,10,2,2863.0874
3,uniform,brute,20,1,2884.0095599999995
3,uniform,brute,20,2,2863.0874
3,uniform,brute,30,1,2884.0095599999995
3,uniform,brute,30,2,2863.0874
3,uniform,brute,40,1,2884.0095599999995
3,uniform,brute,40,2,2863.0874
3,uniform,brute,50,1,2884.0095599999995
3,uniform,brute,50,2,2863.0874
3,uniform,brute,100,1,2884.0095599999995
3,uniform,brute,100,2,2863.0874
3,distance,auto,10,1,2887.81916
3,distance,auto,10,2,2835.4980800000003
3,distance,auto,20,1,2887.81916
3,distance,auto,20,2,2835.4980800000003
3,distance,auto,30,1,2887.81916
3,distance,auto,30,2,2835.4980800000003
3,distance,auto,40,1,2887.81916
3,distance,auto,40,2,2835.4980800000003
3,distance,auto,50,1,2887.81916
3,distance,auto,50,2,2835.4980800000003
3,distance,auto,100,1,2887.81916
3,distance,auto,100,2,2835.4980800000003
3,distance,ball_tree,10,1,2887.81916
3,distance,ball_tree,10,2,2835.4980800000003
3,distance,ball_tree,20,1,2887.81916
3,distance,ball_tree,20,2,2835.4980800000003
3,distance,ball_tree,30,1,2887.81916
3,distance,ball_tree,30,2,2835.4980800000003
3,distance,ball_tree,40,1,2887.81916
3,distance,ball_tree,40,2,2835.4980800000003
3,distance,ball_tree,50,1,2887.81916
3,distance,ball_tree,50,2,2835.4980800000003
3,distance,ball_tree,100,1,2887.81916
3,distance,ball_tree,100,2,2835.4980800000003
3,distance,kd_tree,10,1,2887.81916
3,distance,kd_tree,10,2,2835.4980800000003
3,distance,kd_tree,20,1,2887.81916
3,distance,kd_tree,20,2,2835.4980800000003
3,distance,kd_tree,30,1,2887.81916
3,distance,kd_tree,30,2,2835.4980800000003
3,distance,kd_tree,40,1,2887.81916
3,distance,kd_tree,40,2,2835.4980800000003
3,distance,kd_tree,50,1,2887.81916
3,distance,kd_tree,50,2,2835.4980800000003
3,distance,kd_tree,100,1,2887.81916
3,distance,kd_tree,100,2,2835.4980800000003
3,distance,brute,10,1,2887.81916
3,distance,brute,10,2,2835.4980800000003
3,distance,brute,20,1,2887.81916
3,distance,brute,20,2,2835.4980800000003
3,distance,brute,30,1,2887.81916
3,distance,brute,30,2,2835.4980800000003
3,distance,brute,40,1,2887.81916
3,distance,brute,40,2,2835.4980800000003
3,distance,brute,50,1,2887.81916
3,distance,brute,50,2,2835.4980800000003
3,distance,brute,100,1,2887.81916
3,distance,brute,100,2,2835.4980800000003
5,uniform,auto,10,1,2856.92682
5,uniform,auto,10,2,5834.6206
5,uniform,auto,20,1,2856.92682
5,uniform,auto,20,2,5834.6206
5,uniform,auto,30,1,2856.92682
5,uniform,auto,30,2,5834.6206
5,uniform,auto,40,1,2856.92682
5,uniform,auto,40,2,5834.6206
5,uniform,auto,50,1,2856.92682
5,uniform,auto,50,2,5834.6206
5,uniform,auto,100,1,2856.92682
5,uniform,auto,100,2,5834.6206
5,uniform,ball_tree,10,1,2856.92682
5,uniform,ball_tree,10,2,5834.6206
5,uniform,ball_tree,20,1,2856.92682
5,uniform,ball_tree,20,2,5834.6206
5,uniform,ball_tree,30,1,2856.92682
5,uniform,ball_tree,30,2,5834.6206
5,uniform,ball_tree,40,1,2856.92682
5,uniform,ball_tree,40,2,5834.6206
5,uniform,ball_tree,50,1,2856.92682
5,uniform,ball_tree,50,2,5834.6206
5,uniform,ball_tree,100,1,2856.92682
5,uniform,ball_tree,100,2,5834.6206
5,uniform,kd_tree,10,1,2856.92682
5,uniform,kd_tree,10,2,5834.6206
5,uniform,kd_tree,20,1,2856.92682
5,uniform,kd_tree,20,2,5834.6206
5,uniform,kd_tree,30,1,2856.92682
5,uniform,kd_tree,30,2,5834.6206
5,uniform,kd_tree,40,1,2856.92682
5,uniform,kd_tree,40,2,5834.6206
5,uniform,kd_tree,50,1,2856.92682
5,uniform,kd_tree,50,2,5834.6206
5,uniform,kd_tree,100,1,2856.92682
5,uniform,kd_tree,100,2,5834.6206
5,uniform,brute,10,1,2856.92682
5,uniform,brute,10,2,5834.6206
5,uniform,brute,20,1,2856.92682
5,uniform,brute,20,2,5834.6206
5,uniform,brute,30,1,2856.92682
5,uniform,brute,30,2,5834.6206
5,uniform,brute,40,1,2856.92682
5,uniform,brute,40,2,5834.6206
5,uniform,brute,50,1,2856.92682
5,uniform,brute,50,2,5834.6206
5,uniform,brute,100,1,2856.92682
5,uniform,brute,100,2,5834.6206
5,distance,auto,10,1,2853.4965599999996
5,distance,auto,10,2,5685.93984
5,distance,auto,20,1,2853.4965599999996
5,distance,auto,20,2,5685.93984
5,distance,auto,30,1,2853.4965599999996
5,distance,auto,30,2,5685.93984
5,distance,auto,40,1,2853.4965599999996
5,distance,auto,40,2,5685.93984
5,distance,auto,50,1,2853.4965599999996
5,distance,auto,50,2,5685.93984
5,distance,auto,100,1,2853.4965599999996
5,distance,auto,100,2,5685.93984
5,distance,ball_tree,10,1,2853.4965599999996
5,distance,ball_tree,10,2,5685.93984
5,distance,ball_tree,20,1,2853.4965599999996
5,distance,ball_tree,20,2,5685.93984
5,distance,ball_tree,30,1,2853.4965599999996
